"UniqueAuthorID","Firstname","Lastname","Gender","Country","OrganizationType","node_id","degree","betweenness","closeness","eigenvector"
"Randerson_JT_CA USA_University","JT","Randerson","male","CA USA","University",1349,0,0,NA,6.72205346941012e-18
"Miller_JB_CA USA_University","JB","Miller","male","CA USA","University",1478,0,0,NA,6.72205346941012e-18
"Carpenter_EJ_CA USA_University","EJ","Carpenter","male","CA USA","University",3338,1,0,1,2.4980018054066e-16
"Lacy_JR_CA USA_University","JR","Lacy","male","CA USA","University",3481,0,0,NA,6.72205346941012e-18
"Forrest_AL_CA USA_University","AL","Forrest","male","CA USA","University",4136,0,0,NA,6.72205346941012e-18
"Pierson_JJ_CA USA_University","JJ","Pierson","male","CA USA","University",4844,0,0,NA,6.72205346941012e-18
"Choi_CJ_CA USA_University","CJ","Choi","male","CA USA","University",5129,0,0,NA,6.72205346941012e-18
"Rowe_MD_CA USA_University","MD","Rowe","male","CA USA","University",5395,2,0,0.5,0
"Anderson_EJ_CA USA_University","EJ","Anderson","male","CA USA","University",5396,2,0,0.5,0
"Vanderploeg_HA_CA USA_University","HA","Vanderploeg","female","CA USA","University",5397,2,0,0.5,0
"Benoit-Bird_KJ_CA USA_University","KJ","Benoit-Bird","male","CA USA","University",5439,1,0,1,2.22044604925031e-16
"Moline_MA_CA USA_University","MA","Moline","female","CA USA","University",5440,1,0,1,1.94289029309402e-16
"Pennington_JT_CA USA_Other","JT","Pennington","male","CA USA","Other",5736,0,0,NA,6.72205346941012e-18
"Hook_SJ_CA USA_University","SJ","Hook","male","CA USA","University",5785,0,0,NA,6.72205346941012e-18
"Sutton_AJ_CA USA_University","AJ","Sutton","male","CA USA","University",6214,0,0,NA,6.72205346941012e-18
"Gully_JR_CA USA_Research","JR","Gully","male","CA USA","Research",6231,1,0,1,1.94289029309402e-16
"Mengel_MJ_CA USA_Research","MJ","Mengel","male","CA USA","Research",6234,1,0,1,1.94289029309402e-16
"Benson_DJ_CA USA_University","DJ","Benson","male","CA USA","University",10015,0,0,NA,6.72205346941012e-18
"Mcwilliams_JC_CA USA_University","JC","Mcwilliams","male","CA USA","University",11417,3,1,0.5,0
"Farrara_JD_CA USA_University","JD","Farrara","male","CA USA","University",11419,1,0,0.333333333333333,0
"Mcfarlane_KJ_CA USA_University","KJ","Mcfarlane","male","CA USA","University",26053,0,0,NA,6.72205346941012e-18
"Schubert_CJ_CA USA_University","CJ","Schubert","male","CA USA","University",27820,0,0,NA,6.72205346941012e-18
"Noble_MA_CA USA_Other","MA","Noble","female","CA USA","Other",29038,1,0,1,2.22044604925031e-16
"Rosenberger_KJ_CA USA_Other","KJ","Rosenberger","male","CA USA","Other",29039,1,0,1,1.94289029309402e-16
"Oliver_MJ_CA USA_University","MJ","Oliver","male","CA USA","University",29178,1,0,1,1.94289029309402e-16
"Kohut_JT_CA USA_University","JT","Kohut","male","CA USA","University",29179,1,0,1,2.22044604925031e-16
"Phelan_PJ_CA USA_University","PJ","Phelan","male","CA USA","University",29539,0,0,NA,6.72205346941012e-18
"Furnas_MJ_CA USA_University","MJ","Furnas","male","CA USA","University",29782,1,0,1,1.94289029309402e-16
"Olascoaga_MJ_CA USA_University","MJ","Olascoaga","male","CA USA","University",29907,0,0,NA,6.72205346941012e-18
"Mengel_MJ_CA USA_University","MJ","Mengel","male","CA USA","University",36721,0,0,NA,6.72205346941012e-18
"Howard_MJ_CA USA_University","MJ","Howard","male","CA USA","University",41757,2,0,0.5,0
"Weng_KC_CA USA_University","KC","Weng","male","CA USA","University",41758,2,0,0.5,0
"Bograd_SJ_CA USA_University","SJ","Bograd","male","CA USA","University",41763,2,0,0.5,0
"Henderson_MJ_CA USA_University","MJ","Henderson","male","CA USA","University",44032,1,0,1,2.22044604925031e-16
"Field_JC_CA USA_University","JC","Field","male","CA USA","University",44039,1,0,1,1.94289029309402e-16
"Wright_JD_CA USA_University","JD","Wright","male","CA USA","University",46580,0,0,NA,6.72205346941012e-18
"Liu_JT_CA USA_University","JT","Liu","male","CA USA","University",46706,0,0,NA,6.72205346941012e-18
"Payne_JR_CA USA_Other","JR","Payne","male","CA USA","Other",53871,0,0,NA,6.72205346941012e-18
"Pratt_LJ_CA USA_University","LJ","Pratt","male","CA USA","University",62592,0,0,NA,6.72205346941012e-18
"Rivera_MJ_CA USA_University","MJ","Rivera","male","CA USA","University",65698,0,0,NA,6.72205346941012e-18
"Shumchenia_EJ_CA USA_University","EJ","Shumchenia","male","CA USA","University",70925,0,0,NA,6.72205346941012e-18
"Probst_AJ_CA USA_Research","AJ","Probst","male","CA USA","Research",73183,0,0,NA,6.72205346941012e-18
"Biller_SJ_CA USA_University","SJ","Biller","male","CA USA","University",73576,2,0,0.5,0
"Berta-Thompson_JW_CA USA_University","JW","Berta-Thompson","male","CA USA","University",73578,2,0,0.5,0
"Meisel_JD_CA USA_University","JD","Meisel","male","CA USA","University",73583,2,0,0.5,0
"Kozubal_MA_CA USA_University","MA","Kozubal","female","CA USA","University",75231,1,0,1,2.22044604925031e-16
"Van Nostrand_JD_CA USA_University","JD","Van Nostrand","male","CA USA","University",76734,3,0,0.333333333333333,1
"Lee_MD_CA USA_University","MD","Lee","male","CA USA","University",76806,0,0,NA,6.72205346941012e-18
"Roth_JD_CA USA_University","JD","Roth","male","CA USA","University",81506,0,0,NA,6.72205346941012e-18
"Ramos_AR_CA USA_University","AR","Ramos","male","CA USA","University",95538,1,0,0.333333333333333,0
"Wall_JD_CA USA_University","JD","Wall","male","CA USA","University",95543,2,1,0.5,3.88578058618805e-16
"Powell_AJ_CA USA_University","AJ","Powell","male","CA USA","University",96496,0,0,NA,6.72205346941012e-18
"Ignacio-Espinoza_JC_CA USA_University","JC","Ignacio-Espinoza","male","CA USA","University",96555,0,0,NA,6.72205346941012e-18
"Coates_JD_CA USA_University","JD","Coates","male","CA USA","University",96669,0,0,NA,6.72205346941012e-18
"Pasulka_AL_CA USA_University","AL","Pasulka","male","CA USA","University",96972,0,0,NA,6.72205346941012e-18
"Thorson_JT_CA USA_Other","JT","Thorson","male","CA USA","Other",100011,0,0,NA,6.72205346941012e-18
"Stegen_JC_CA USA_University","JC","Stegen","male","CA USA","University",105009,3,0,0.333333333333333,1
"Li_JJ_CA USA_University","JJ","Li","male","CA USA","University",105016,3,0,0.333333333333333,1
"Ni_JJ_CA USA_University","JJ","Ni","male","CA USA","University",105018,3,0,0.333333333333333,1
"White_BJ_CA USA_University","BJ","White","male","CA USA","University",105608,0,0,NA,6.72205346941012e-18
"Molemaker_MJ_CA USA_University","MJ","Molemaker","male","CA USA","University",110970,2,0,0.333333333333333,0
"Stewart_AL_CA USA_University","AL","Stewart","male","CA USA","University",111507,0,0,NA,6.72205346941012e-18
